route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
F,FDF,FDF46,Senhora da Hora,0,,FG
F,FDF,FDF47,Senhora da Hora,0,,FG
F,FDF,FDF48,Senhora da Hora,0,,FG
F,FDF,FDF49,Senhora da Hora,0,,FG
F,FS,FS0,Senhora da Hora,0,,FG
F,FS,FS1,Senhora da Hora,0,,FG
F,FS,FS2,Senhora da Hora,0,,FG
F,FS,FS3,Senhora da Hora,0,,FG
F,FS,FS4,Senhora da Hora,0,,FG
F,FS,FS5,Senhora da Hora,0,,FG
F,FS,FS6,Senhora da Hora,0,,FG
F,FS,FS7,Senhora da Hora,0,,FG
F,FS,FS8,Senhora da Hora,0,,FG
F,FS,FS9,Senhora da Hora,0,,FG
F,FS,FS10,Senhora da Hora,0,,FG
F,FS,FS11,Senhora da Hora,0,,FG
F,FS,FS12,Senhora da Hora,0,,FG
F,FS,FS13,Senhora da Hora,0,,FG
F,FS,FS14,Senhora da Hora,0,,FG
F,FS,FS15,Senhora da Hora,0,,FG
F,FS,FS16,Senhora da Hora,0,,FG
F,FS,FS17,Senhora da Hora,0,,FG
F,FS,FS18,Senhora da Hora,0,,FG
F,FS,FS19,Senhora da Hora,0,,FG
F,FS,FS20,Senhora da Hora,0,,FG
F,FS,FS21,Senhora da Hora,0,,FG
F,FS,FS22,Senhora da Hora,0,,FG
F,FS,FS23,Senhora da Hora,0,,FG
F,FS,FS24,Senhora da Hora,0,,FG
F,FS,FS25,Senhora da Hora,0,,FG
F,FS,FS26,Senhora da Hora,0,,FG
F,FS,FS27,Senhora da Hora,0,,FG
F,FS,FS28,Senhora da Hora,0,,FG
F,FS,FS29,Senhora da Hora,0,,FG
F,FS,FS30,Senhora da Hora,0,,FG
F,FS,FS31,Senhora da Hora,0,,FG
F,FS,FS32,Senhora da Hora,0,,FG
F,FS,FS33,Senhora da Hora,0,,FG
F,FS,FS34,Senhora da Hora,0,,FG
F,FS,FS35,Senhora da Hora,0,,FG
F,FS,FS36,Senhora da Hora,0,,FG
F,FS,FS37,Senhora da Hora,0,,FG
F,FS,FS38,Senhora da Hora,0,,FG
F,FS,FS39,Senhora da Hora,0,,FG
F,FS,FS40,Senhora da Hora,0,,FG
F,FS,FS41,Senhora da Hora,0,,FG
F,FS,FS42,Senhora da Hora,0,,FG
F,FS,FS43,Senhora da Hora,0,,FG
F,FS,FS44,Senhora da Hora,0,,FG
F,FS,FS45,Senhora da Hora,0,,FG
F,FS,FS46,Senhora da Hora,0,,FG
F,FS,FS47,Senhora da Hora,0,,FG
F,FS,FS48,Senhora da Hora,0,,FG
F,FS,FS49,Senhora da Hora,0,,FG
F,FS,FS50,Senhora da Hora,0,,FG
F,FS,FS51,Senhora da Hora,0,,FG
F,FS,FS52,Senhora da Hora,0,,FG
F,FS,FS53,Senhora da Hora,0,,FG
F,FS,FS54,Senhora da Hora,0,,FG
F,FS,FS55,Senhora da Hora,0,,FG
